,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,0,partie,part
1,1,1,1,histoire,history
2,3,3,3,seulement,only
3,4,4,4,police,police
4,5,5,5,pensais,thought
5,6,6,6,aide,help
6,7,8,9,mois,month
7,8,9,10,frère,brother
8,9,10,11,laisser,let
9,10,11,12,car,because
10,12,13,14,aucun,no
11,13,14,15,laisse,leash
12,15,16,17,ville,city
13,16,17,18,chaque,each
14,17,18,19,parlé,speak
15,19,20,21,bébé,baby
16,20,21,22,longtemps,long time
17,21,22,23,heures,hours
18,22,23,24,vont,will
19,23,24,25,pendant,while
20,24,25,26,revoir,meet again
21,25,26,29,parle,speak
22,26,27,32,étaient,were
23,27,28,33,attention,Warning
24,28,29,34,voici,here is
25,29,30,35,pourrais,could
26,30,31,36,affaire,case
27,31,32,37,donner,give
28,32,33,38,type,type
29,33,34,39,leurs,their
30,34,35,40,donné,given
31,35,36,41,train,train
32,36,37,42,corps,body
33,37,38,44,yeux,eyes
34,38,39,45,façon,way
35,39,40,46,écoute,listen
36,40,41,47,dont,whose
37,41,42,48,trouve,find
38,42,43,49,premier,first
39,43,44,51,main,hand
40,44,45,53,côté,side
41,46,47,56,sois,be
42,47,48,57,tiens,here
43,48,49,58,matin,morning
44,49,50,59,tellement,so much
45,50,51,60,enfant,child
46,51,52,61,point,point
47,52,53,62,venu,came
48,53,54,63,suite,after
49,55,56,65,venez,come
50,56,57,66,devant,in front of
51,57,58,67,vers,towards
52,58,59,68,minutes,minutes
53,59,60,69,demandé,request
54,60,61,70,chambre,bedroom
55,61,62,72,belle,beautiful
56,62,63,73,droit,law
57,63,64,74,aimerais,would like to
58,64,65,75,aujourd'hui,today
59,65,66,76,mari,husband
60,67,68,79,espère,hope
61,68,69,81,attendez,Wait
62,69,70,83,nouvelle,new
63,70,71,85,arrêter,Stop
64,71,72,86,dirait,would say
65,72,73,87,terre,Earth
66,73,74,88,compte,account
67,74,75,89,donne,given
68,75,76,90,loin,far
69,77,78,92,croire,believe
70,78,79,93,chérie,sweetheart
71,79,80,94,gros,large
72,80,81,95,plutôt,rather
73,81,82,98,jouer,to play
74,82,83,99,bureau,office
